Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LandSlope,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,FstFlrSF,SecndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,ThreeSsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,LotConfig_Corner,LotConfig_CulDSac,LotConfig_FR2,LotConfig_FR3,Neighborhood_Blueste,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_ClearCr,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_IDOTRR,Neighborhood_MeadowV,Neighborhood_Mitchel,Neighborhood_Names,Neighborhood_NoRidge,Neighborhood_NPkVill,Neighborhood_NridgHt,Neighborhood_NWAmes,Neighborhood_OldTown,Neighborhood_SWISU,Neighborhood_Sawyer,Neighborhood_SawyerW,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,Neighborhood_Veenker
1,60,5,65.0,8450,1,0,0,0,0,2,2,0,3,7,5,2003,2003,1,1,14,14,1,2,2,5,2,4,6,706,6,0,150,856,1,0,1,0,856,854,0,1710,1,0,2,1,3,1,1,8,0,0,6,2003.0,3,2,548,5,5,0,0,61,0,0,0,0,0,2,2008,-1,0,208500,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,20,5,80.0,9600,1,0,0,0,0,1,2,0,0,6,8,1976,1976,1,1,8,8,2,2,1,5,2,4,6,978,6,0,284,1262,1,0,1,0,1262,0,0,1262,0,1,2,0,3,1,2,6,0,1,6,1976.0,3,2,460,5,5,0,298,0,0,0,0,0,0,5,2007,-1,0,181500,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,60,5,68.0,11250,1,1,0,0,0,2,2,0,3,7,5,2001,2002,1,1,14,14,1,2,2,5,2,4,6,486,6,0,434,920,1,0,1,0,920,866,0,1786,1,0,2,1,3,1,1,6,0,1,6,2001.0,3,2,608,5,5,0,0,42,0,0,0,0,0,9,2008,-1,0,223500,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,70,5,60.0,9550,1,1,0,0,0,2,2,0,3,7,5,1915,1970,1,1,15,-1,2,2,0,5,1,4,6,216,6,0,540,756,1,1,1,0,961,756,0,1717,1,0,1,0,3,1,1,7,0,1,6,1998.0,3,3,642,5,5,0,0,35,272,0,0,0,0,2,2006,-1,1,140000,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,50,5,85.0,14115,1,1,0,0,0,2,2,0,1,5,5,1993,1995,1,1,14,14,2,2,5,5,2,4,6,732,6,0,64,796,1,0,1,0,796,566,0,1362,1,0,1,1,1,1,2,5,0,0,6,1993.0,3,2,480,5,5,0,40,30,0,320,0,0,700,10,2009,-1,0,143000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7,20,5,75.0,10084,1,0,0,0,0,2,2,0,0,8,5,2004,2005,1,1,14,14,1,2,2,5,2,4,6,1369,6,0,317,1686,1,0,1,0,1694,0,0,1694,1,0,2,0,3,1,1,7,0,1,6,2004.0,3,2,636,5,5,0,255,57,0,0,0,0,0,8,2007,-1,0,307000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8,60,5,70.39390756302521,10382,1,1,0,0,0,5,2,0,3,7,6,1973,1973,1,1,6,6,2,2,1,5,2,4,6,859,6,32,216,1107,1,0,1,0,1107,983,0,2090,1,0,2,1,3,1,2,7,0,2,6,1973.0,3,2,484,5,5,0,235,204,228,0,0,0,350,11,2009,-1,0,200000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9,50,7,51.0,6120,1,0,0,0,0,0,2,0,1,7,5,1931,1950,1,1,3,-1,2,2,0,5,2,4,6,0,6,0,952,952,1,1,1,2,1022,752,0,1774,0,0,2,0,2,2,2,8,1,2,6,1931.0,3,2,468,5,5,0,90,0,205,0,0,0,0,4,2008,-1,1,129900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
11,20,5,70.0,11200,1,0,0,0,0,2,2,0,0,5,5,1965,1965,3,1,6,6,2,2,1,5,2,4,6,906,6,0,134,1040,1,0,1,0,1040,0,0,1040,1,0,1,0,3,1,2,5,0,0,6,1965.0,3,1,384,5,5,0,0,0,0,0,0,0,0,2,2008,-1,0,129500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
12,60,5,85.0,11924,1,1,0,0,0,2,2,0,3,9,5,2005,2006,3,1,16,-1,0,2,2,5,2,4,6,998,6,0,177,1175,1,0,1,0,1182,1142,0,2324,1,0,3,0,4,1,0,11,0,2,6,2005.0,3,3,736,5,5,0,147,21,0,0,0,0,0,7,2006,3,5,345000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
