Emp #,Designation,Experience,Salary,AggrBehavScore,ActivityScore,LinesOfCode,Qualification,Degree,YearsOfStudy,EducationalInstitute,Gender,Empl_Band
e1,Director,16.0,85861,0.5269279221329952,5,1678,Grad,,15.0,clg,M,A
e2,Jr.Dev,3.0,25376,6.420420954436259,18,6082,Grad,Btech,16.0,clg,F,C
e3,Sr.Dev,6.0,38193,2.802336959660296,7,2927,PostGrad,Msc,17.0,unv,M,B
e4,Jr.Dev,3.0,22807,9.374888280928348,23,10249,,Mtech,18.0,,F,C
e5,Sr.Dev,4.0,37624,3.3365641558365824,10,3159,,Btech,16.0,,F,B
e6,Sr.Dev,8.5,33512,2.694586077588668,8,3933,,,15.0,unv,M,B
e7,Sr.Dev,5.3,31035,3.0842497167018936,11,3815,PostGrad,IntMsc,,cunv,F,B
e8,Director,19.0,90710,1.084498058980711,1,974,,,,,M,A
e9,Manager,13.0,60859,1.5710567898657986,7,1538,,,18.0,iit,F,B
e10,Sr.Analyst,9.5,50921,1.8154361914235375,4,2462,Grad,B.A,15.0,,M,A
e11,Sr.Analyst,8.5,53557,1.2112490757017238,5,1599,Phd,,22.0,,M,A
e12,Sr.Manager,14.0,70774,1.0226055568634025,2,1125,,Msc,27.0,iit,F,A
e13,Analyst,8.0,46596,2.055741744360368,5,1919,PostGrad,Mba,19.0,clg,M,C
e14,Analyst,9.3,45004,2.3675771209083245,4,1601,,,,,F,C
e15,Analyst,10.1,47562,2.2563275971997125,8,1791,Grad,Bsc,15.0,iit,F,C
e16,Manager,11.2,63591,1.427574316051567,4,1576,Grad,Btech,16.0,clg,M,B
e17,Manager,12.8,64774,1.1720574544392683,5,1371,Grad,,,,M,B
e18,Sr.Manager,15.0,78501,1.4828659531904633,5,2254,,,15.0,,M,A
e19,Sr.Analyst,6.5,52316,2.629074765335397,5,2701,,,16.0,,M,A
e20,Sr.Analyst,9.7,57147,2.0635069844675673,4,1317,,,,,F,A
e21,Sr.Analyst,11.1,60560,1.7855608179663256,8,2568,,,,,M,A
e22,Sr.Analyst,9.0,49680,1.5022363257081839,5,3131,postdoc,,,,F,A
e23,Analyst,9.2,45216,1.8485783446293376,6,2181,,,15.0,,M,C
e24,Analyst,10.5,49502,2.079595187436082,9,3521,,,15.0,,M,C
e25,Analyst,7.7,43206,2.2805060552191505,7,3384,,,15.0,,M,C
e26,Manager,11.0,64317,1.3995802311150771,7,1851,,,17.0,,M,B
e27,Manager,14.2,68630,1.478287832308416,2,1119,,,17.0,,M,B
e28,Manager,11.5,67745,1.2303192508107554,3,1540,,,,,F,B
e29,Sr.Analyst,13.0,78025,1.2132570307575186,6,1628,,,17.0,,F,A
e30,Sr.Manager,16.2,74423,1.1622626290280509,3,2298,,,19.0,,F,A
e31,Sr.Analyst,10.2,53200,0.9893201284799352,6,2700,,,29.0,,M,A
e32,Sr.Analyst,11.9,52296,1.0429961856115386,5,2948,,,35.0,,F,A
e33,Director,16.0,97106,1.8369084418144754,8,4949,postdoc,,23.0,clg,M,A
e34,Sr.Analyst,10.0,50658,2.7809643714604597,3,-380,PostGrad,Mtech,18.0,,M,A
e35,Sr.Analyst,12.2,58993,2.7303722509671533,6,1848,PostGrad,Mtech,18.0,,M,A
e36,Sr.Analyst,12.0,69262,0.6799273499811913,7,4374,PostGrad,Mtech,18.0,,M,A
e37,Sr.Analyst,13.0,69713,3.2705666223997714,5,1741,PostGrad,Mtech,18.0,,F,A
e38,Director,18.0,97128,1.731650095825593,6,7871,PostGrad,Mtech,18.0,iit,F,A
e39,Jr.Dev,3.0,32614,5.030129768015366,10,2808,Grad,Btech,16.0,clg,M,C
e40,Jr.Dev,4.4,20319,9.390118047491802,12,5021,Grad,Btech,15.0,unv,M,C
e41,Jr.Dev,1.2999999999999998,25133,3.549821384353475,18,7045,Grad,Btech,15.0,cunv,F,C
e42,Jr.Dev,4.7,30695,6.354748429573659,20,10057,PostGrad,Mtech,18.0,iit,F,C
e43,Jr.Dev,4.9,24120,8.729669524641567,19,6515,Grad,Btech,16.0,clg,F,C
e44,Jr.Dev,3.4,22089,3.5946967228429005,22,1743,Grad,Btech,16.0,unv,F,C
e45,Jr.Dev,3.0999999999999996,22830,6.660255173879258,6,1031,Grad,Btech,16.0,cunv,M,C
e46,Jr.Dev,6.0,35131,4.971486233244871,5,9748,PostGrad,Mtech,18.0,iit,M,C
e47,Jr.Dev,5.2,29157,3.5523579688261333,16,1406,Grad,Btech,16.0,clg,F,C
e48,Jr.Dev,1.2,17089,8.773903783620186,19,548,Grad,Btech,16.0,unv,M,C
e49,Jr.Dev,2.6,25247,3.898110818237028,10,7660,Grad,Btech,16.0,cunv,F,C
e50,Jr.Dev,5.2,26655,6.76105384735891,21,602,PostGrad,Mtech,18.0,iit,M,C
e51,Jr.Dev,3.3,26675,1.7648564118149652,10,2478,Grad,Btech,16.0,clg,M,C
e52,Jr.Dev,5.7,26811,9.993203645830498,12,1362,Grad,Btech,16.0,unv,M,C
e53,Jr.Dev,6.2,26968,4.715736149397988,24,2893,Grad,Btech,16.0,cunv,M,C
e54,Jr.Dev,5.5,29842,2.527434490660614,15,5254,Grad,Btech,16.0,iit,M,C
e55,Sr.Dev,7.0,37458,6.152230914186372,16,12427,Grad,Btech,16.0,,F,B
e56,Sr.Dev,7.0,31807,3.5580117843337655,5,3122,Grad,Btech,16.0,unv,F,B
e57,Sr.Dev,6.5,35051,1.4643860197676788,16,3535,Grad,Btech,16.0,cunv,F,B
e58,Sr.Dev,10.8,40450,7.307540770583406,5,9639,Grad,Btech,16.0,,F,B
e59,Sr.Dev,7.0,32183,2.5241790614145403,2,8098,PostGrad,Mtech,21.0,unv,F,B
e60,Sr.Dev,7.7,34954,4.6758560829199265,8,890,PostGrad,Msc,17.0,cunv,F,B
e61,Sr.Dev,9.5,32959,7.68481810419935,10,3559,PostGrad,Msc,17.0,,F,B
e62,Sr.Dev,4.3,43658,3.1141571854800794,15,4756,PostGrad,Mtech,18.0,unv,F,B
e63,Sr.Dev,4.1,32093,2.9788071103311005,12,8075,PostGrad,Msc,21.0,cunv,F,B
e64,Sr.Dev,6.0,48930,5.755091646910721,15,4129,Grad,Btech,16.0,,F,B
